127.0.0.1, 2018-06-28 16:40:50, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.787000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000

127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
, 0.001000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:40:51, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:40:54, GET, /admin/default/index, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-06-28 16:40:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 16:40:56, POST, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2018-06-28 16:40:56, GET, /admin/default/site, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-06-28 16:40:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 16:40:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.233000
127.0.0.1, 2018-06-28 16:41:05, POST, /admin/default/site, HTTP/1.1, 303, 0.491000
127.0.0.1, 2018-06-28 16:41:05, GET, /admin/default/design/Raynime, HTTP/1.1, 200, 0.122000
127.0.0.1, 2018-06-28 16:41:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
